,ISI_ULASAN,KLASIFIKASI_FITUR,SUB_KLASIFIKASI_FITUR,ISI_ULASAN_TOKEN,ISI_ULASAN_STEMMED
68,apa benar biaya pindah meter rb memang tambah kabel panjang meterminta stempel kuitansi dari pln gak punya,Umum,Keluhan Probis,"['biaya', 'pindah', 'meter', 'rb', 'kabel', 'meterminta', 'stempel', 'kuitansi', 'pln', 'gak']","['biaya', 'pindah', 'meter', 'rb', 'kabel', 'meterminta', 'stempel', 'kuitansi', 'pln', 'gak']"
69,saya guna pascabayarrva pada catat meter total pakai kwh kira tagih bulan maret rp belum masuk adm rp telah saya cek tagih bulan maret rp kok bisa gitu yamohon baik,Feature Design,History pembelian token/pembayaran tagihan,"['pascabayarrva', 'catat', 'meter', 'total', 'pakai', 'kwh', 'tagih', 'maret', 'rp', 'masuk', 'adm', 'rp', 'cek', 'tagih', 'maret', 'rp', 'gitu', 'yamohon']","['pascabayarrva', 'catat', 'meter', 'total', 'pakai', 'kwh', 'tagih', 'maret', 'rp', 'masuk', 'adm', 'rp', 'cek', 'tagih', 'maret', 'rp', 'gitu', 'yamohon']"
70,aplikasi bagus respon kepada pelabggan kena tangan keluh lama,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['aplikasi', 'bagus', 'respon', 'pelabggan', 'kena', 'tangan', 'keluh']","['aplikasi', 'bagus', 'respon', 'pelabggan', 'kena', 'tangan', 'keluh']"
71, bisa bayar pakai ovo,Feature Errors,Fungsi fitur gagal,"['bayar', 'pakai', 'ovo']","['bayar', 'pakai', 'ovo']"
72,aplikasi sedia tapi sama teknisi sudah full buat refund juga sulit banget,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['aplikasi', 'sedia', 'teknisi', 'full', 'refund', 'sulit', 'banget']","['aplikasi', 'sedia', 'teknisi', 'full', 'refund', 'sulit', 'banget']"
73,buat akun susaaaaahhhh nunggu verifikasi sms email tak kunjung datang,Registration,Masalah verifikasi,"['akun', 'susaaaaahhhh', 'nunggu', 'verifikasi', 'sms', 'email', 'kunjung']","['akun', 'susaaaaahhhh', 'nunggu', 'verifikasi', 'sms', 'email', 'kunjung']"
74,makin tidak manfaat belum beli token atau bayar tagih tidak kena biaya sekarang malah kena biaya mending belibayar pakai aplikasi lain ada diskoncashback,Feature Design,Fitur Payment,"['manfaat', 'beli', 'token', 'bayar', 'tagih', 'kena', 'biaya', 'kena', 'biaya', 'mending', 'belibayar', 'pakai', 'aplikasi', 'diskoncashback']","['manfaat', 'beli', 'token', 'bayar', 'tagih', 'kena', 'biaya', 'kena', 'biaya', 'mending', 'belibayar', 'pakai', 'aplikasi', 'diskoncashback']"
75,kecewa sekali beli token listrik va status masih tunggu bayar dan pada akhir jadi kadaluarsa udah lapor keluh dan lapor di email di suruh nunggu tindak lanjut  tapi belum ada hasil rugi rugi,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['kecewa', 'beli', 'token', 'listrik', 'va', 'status', 'tunggu', 'bayar', 'kadaluarsa', 'udah', 'lapor', 'keluh', 'lapor', 'email', 'suruh', 'nunggu', 'tindak', 'hasil', 'rugi', 'rugi']","['kecewa', 'beli', 'token', 'listrik', 'va', 'status', 'tunggu', 'bayar', 'kadaluarsa', 'udah', 'lapor', 'keluh', 'lapor', 'email', 'suruh', 'nunggu', 'tindak', 'hasil', 'rugi', 'rugi']"
76,,Umum,Lain-lain,[],[]
77,per bulan februari kena biaya admin jadi dulu bintang karena tanpa biaya admin sekrang saya rubah bintang dulu karena ubah ada,Feature Design,Fitur Payment,"['februari', 'kena', 'biaya', 'admin', 'bintang', 'biaya', 'admin', 'sekrang', 'rubah', 'bintang', 'ubah']","['februari', 'kena', 'biaya', 'admin', 'bintang', 'biaya', 'admin', 'sekrang', 'rubah', 'bintang', 'ubah']"
78,kata nya gratis admin tpi mulai hari ini kenapa ada tambah biaya layan dan kenapa harus maka vocer kalo pengen gratis admin,Feature Design,Fitur Payment,"['nya', 'gratis', 'admin', 'tpi', 'biaya', 'layan', 'vocer', 'pengen', 'gratis', 'admin']","['nya', 'gratis', 'admin', 'tpi', 'biaya', 'layan', 'vocer', 'ken', 'gratis', 'admin']"
79,aplikasi sih sudah bagus tapi masih ada ketidaksinkronan tiap buka menu adu terus klik lampu belum nyala malah lapor ubah status jadi selesai tolong di baik lagi ya,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['aplikasi', 'bagus', 'ketidaksinkronan', 'buka', 'menu', 'adu', 'klik', 'lampu', 'nyala', 'lapor', 'ubah', 'status', 'selesai', 'tolong', 'ya']","['aplikasi', 'bagus', 'ketidaksinkronan', 'buka', 'menu', 'adu', 'klik', 'lampu', 'nyala', 'lapor', 'ubah', 'status', 'selesai', 'tolong', 'ya']"
80,sejak kapan aplikasi pln ada biaya layan bukan dulu saat ada beli tokenpembayaran listrik lalu livin by mandiri tidak ada biaya layan yaakok sekarang ada yaa,Feature Design,Fitur Payment,"['aplikasi', 'pln', 'biaya', 'layan', 'beli', 'tokenpembayaran', 'listrik', 'livin', 'by', 'mandiri', 'biaya', 'layan', 'yaakok', 'yaa']","['aplikasi', 'pln', 'biaya', 'layan', 'beli', 'tokenpembayaran', 'listrik', 'livin', 'by', 'mandiri', 'biaya', 'layan', 'yaakok', 'yaa']"
81,iconet masalah hatihati dalam pilih wifi proses lama bgt agen nya low respon wifi error minggu sekali pasti ada errornya tibatiba live chat pun responnya gajelas tolong baik selalu lowrespon dan jawab tidak jelas masalah juga tiap bayar,ICONNET,Service O2O ICONNET,"['iconet', 'hatihati', 'pilih', 'wifi', 'proses', 'bgt', 'agen', 'nya', 'low', 'respon', 'wifi', 'error', 'minggu', 'errornya', 'tibatiba', 'live', 'chat', 'responnya', 'gajelas', 'tolong', 'lowrespon', 'bayar']","['iconet', 'hatihati', 'pilih', 'wifi', 'proses', 'bgt', 'agen', 'nya', 'low', 'respon', 'wifi', 'error', 'minggu', 'errornya', 'tibatiba', 'live', 'chat', 'responnya', 'gajelas', 'tolong', 'lowrespon', 'bayar']"
82,mati listrik terossssssss,Service O2O,Respon lambat terhadap keluhan pemadaman,"['mati', 'listrik', 'terossssssss']","['mati', 'listrik', 'terossssssss']"
83,sekarang ada biaya admin yahmantap,Feature Design,Fitur Payment,"['biaya', 'admin', 'yahmantap']","['biaya', 'admin', 'yahmantap']"
84,beli token di sini gagal tapi saldo sudah potong sudah komplain via telphone dan kirim bukti via email tapi tetap saldo tidak kembali kecewa,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['beli', 'token', 'gagal', 'saldo', 'potong', 'komplain', 'via', 'telphone', 'kirim', 'bukti', 'via', 'email', 'saldo', 'kecewa']","['beli', 'token', 'gagal', 'saldo', 'potong', 'komplain', 'via', 'telphone', 'kirim', 'bukti', 'via', 'email', 'saldo', 'kecewa']"
85,untuk apa ada aplikasi swebcam ini tiap bulan saya kirim foto dan sdh terupdate rincian dan kira bayar tp tugas tetap aja ngotot mau foto jg minta masuk rumah tiap bulan akhir seperti tidak ada guna ini aplikasi masih aja manual catat tugas ganggu banget sih tiap bulan datang ke rumah ketok,Feature Design,Fitur Swacam,"['aplikasi', 'swebcam', 'kirim', 'foto', 'terupdate', 'rincian', 'bayar', 'tp', 'tugas', 'ngotot', 'foto', 'masuk', 'rumah', 'aplikasi', 'manual', 'catat', 'tugas', 'ganggu', 'banget', 'rumah', 'ketok']","['aplikasi', 'swebcam', 'kirim', 'foto', 'terupdate', 'rincian', 'bayar', 'tp', 'tugas', 'ngotot', 'foto', 'masuk', 'rumah', 'aplikasi', 'manual', 'catat', 'tugas', 'ganggu', 'banget', 'rumah', 'ketok']"
86,layan sangat buruk sudah adu  listrik padam tapi gk ada tugas yg datang tolong untuk layan di per baik lagi,Service O2O,Respon lambat terhadap keluhan pemadaman,"['layan', 'buruk', 'adu', 'listrik', 'padam', 'gk', 'tugas', 'tolong', 'layan']","['layan', 'buruk', 'adu', 'listrik', 'padam', 'gk', 'tugas', 'tolong', 'layan']"
87,bayar via mandiri ada admnya ya sekarang,Feature Design,Fitur Payment,"['bayar', 'via', 'mandiri', 'admnya', 'ya']","['bayar', 'via', 'mandiri', 'admnya', 'ya']"
88,aplikasi pln mobile sekarang tidak guna rena sangat sering tidak bisa jalan dengan normal loading nya sangat lama bahkan tidak jalan sama sekali,Feature Errors,Gangguan Server,"['aplikasi', 'pln', 'mobile', 'rena', 'jalan', 'normal', 'loading', 'nya', 'jalan']","['aplikasi', 'pln', 'mobile', 'rena', 'jalan', 'normal', 'loading', 'nya', 'jalan']"
89,min gak jelas pake biaya admin sama sama dalam naung bumn plat merah pake admin jadi gak kepake apk pln mobile uninstall aja,Feature Design,Fitur Payment,"['min', 'gak', 'pake', 'biaya', 'admin', 'naung', 'bumn', 'plat', 'merah', 'pake', 'admin', 'gak', 'kepake', 'apk', 'pln', 'mobile', 'uninstall']","['min', 'gak', 'pake', 'biaya', 'admin', 'naung', 'bumn', 'plat', 'merah', 'pake', 'admin', 'gak', 'kepake', 'apk', 'pln', 'mobile', 'uninstall']"
90,saya sudah nunggu sekitar bulan untuk ter cover ktnya akan segera di proses dan akan di beri tau lalu email tpi sampai skrng blum ada email masuk dri pln,ICONNET,Registration ICONNET,"['nunggu', 'ter', 'cover', 'ktnya', 'proses', 'email', 'tpi', 'skrng', 'blum', 'email', 'masuk', 'dri', 'pln']","['nunggu', 'ter', 'cover', 'ktnya', 'proses', 'email', 'tpi', 'skrng', 'blum', 'email', 'masuk', 'dri', 'pln']"
91,sekarang bayar va pun ada biaya layan otw uninstall,Feature Design,Fitur Payment,"['bayar', 'va', 'biaya', 'layan', 'otw', 'uninstall']","['bayar', 'va', 'biaya', 'layan', 'otw', 'uninstall']"
92,gan sekarang ada admin bank ya via mandiri va,Feature Design,Fitur Payment,"['gan', 'admin', 'bank', 'ya', 'via', 'mandiri', 'va']","['gan', 'admin', 'bank', 'ya', 'via', 'mandiri', 'va']"
93,aplikasi lambat muter aja dan respon pegaduan lambat sekali,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['aplikasi', 'lambat', 'muter', 'respon', 'pegaduan', 'lambat']","['aplikasi', 'lambat', 'muter', 'respon', 'pegaduan', 'lambat']"
94,kenapa saya tidak bisa daftar kata nya sedang proses tapi ga pernah selesai proses nya baik lewat no hp atau pun email,Registration,Sulit mendaftar/tidak bisa mendaftar,"['daftar', 'nya', 'proses', 'ga', 'selesai', 'proses', 'nya', 'no', 'hp', 'email']","['daftar', 'nya', 'proses', 'ga', 'selesai', 'proses', 'nya', 'no', 'hp', 'email']"
95,request timed out,Feature Errors,Fungsi fitur gagal,"['request', 'timed', 'out']","['request', 'timed', 'out']"
96,kami kan listrik pakai pulsa tapi tiap bulan kami bayar listrik besar rp gmna cerita nya mohon bantu apakah memang benar,Umum,Keluhan Probis,"['listrik', 'pakai', 'pulsa', 'bayar', 'listrik', 'rp', 'gmna', 'cerita', 'nya', 'mohon', 'bantu']","['listrik', 'pakai', 'pulsa', 'bayar', 'listrik', 'rp', 'gmna', 'cerita', 'nya', 'mohon', 'bantu']"
97,bikin adu juga percuma tugas cuma kasih kode terus kita sendiri yang ngurus kata ada masalah pada instalasi listrik tapi gak mau ngecek tugas gak kompeten,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['adu', 'tugas', 'kasih', 'kode', 'ngurus', 'instalasi', 'listrik', 'gak', 'ngecek', 'tugas', 'gak', 'kompeten']","['adu', 'tugas', 'kasih', 'kode', 'ngurus', 'instalasi', 'listrik', 'gak', 'ngecek', 'tugas', 'gak', 'kompeten']"
98,beberapa kali pakai bayar wifi eh abis tu ga bisa lagi ga ada server terus,Feature Errors,Gangguan Server,"['kali', 'pakai', 'bayar', 'wifi', 'abis', 'tu', 'ga', 'ga', 'server']","['kali', 'pakai', 'bayar', 'wifi', 'abis', 'tu', 'ga', 'ga', 'server']"
99,listrik padam melulu di talawi batubara sumatera utara harga mahal layan murah sedot aja uang listrik masyarakat,Service O2O,Respon lambat terhadap keluhan pemadaman,"['listrik', 'padam', 'melulu', 'talawi', 'batubara', 'sumatera', 'utara', 'harga', 'mahal', 'layan', 'murah', 'sedot', 'uang', 'listrik', 'masyarakat']","['listrik', 'padam', 'melulu', 'talawi', 'batubara', 'sumatera', 'utara', 'harga', 'mahal', 'layan', 'murah', 'sedot', 'uang', 'listrik', 'masyarakat']"
100,buat apa lapor kalau nyata listrik masih mati tapi batal otomatis sama setan lalu bilang nyala,Service O2O,Keluhan yang ditandai dilakukan tanpa realisasi,"['lapor', 'nyata', 'listrik', 'mati', 'batal', 'otomatis', 'setan', 'nyala']","['lapor', 'nyata', 'listrik', 'mati', 'batal', 'otomatis', 'setan', 'nyala']"
101,percuma lapor keluh di unit daerah ga langsung sigap,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['lapor', 'keluh', 'unit', 'daerah', 'ga', 'langsung', 'sigap']","['lapor', 'keluh', 'unit', 'daerah', 'ga', 'langsung', 'sigap']"
102,mau pasang wifi gabisa ntah pegawai ntah dari pusat listrik  daerah inti gabisa tapi udh bayar di awal gilir gabisa kaya gin mau  refund ribetnya minta ampun gakaya bayar gampang udh mau bulan masih gabalik juga,ICONNET,Service O2O ICONNET,"['pasang', 'wifi', 'gabisa', 'ntah', 'pegawai', 'ntah', 'pusat', 'listrik', 'daerah', 'inti', 'gabisa', 'bayar', 'gilir', 'gabisa', 'kaya', 'gin', 'refund', 'ribetnya', 'ampun', 'gakaya', 'bayar', 'gampang', 'gabalik']","['pasang', 'wifi', 'gabisa', 'ntah', 'pegawai', 'ntah', 'pusat', 'listrik', 'daerah', 'inti', 'gabisa', 'bayar', 'gilir', 'gabisa', 'kaya', 'gin', 'refund', 'ribetnya', 'ampun', 'gakaya', 'bayar', 'gampang', 'gabalik']"
103,everything is useless,Feature Errors,Fungsi fitur gagal,"['everything', 'is', 'useless']","['everything', 'is', 'useless']"
104,apa iconet ini udah bayar info gak jelas di hubung cs gak ada tanggap aplikasi error  alat blom pasang udah mntak biaya tagih bulan depan,ICONNET,Service O2O ICONNET,"['iconet', 'udah', 'bayar', 'info', 'gak', 'hubung', 'cs', 'gak', 'tanggap', 'aplikasi', 'error', 'alat', 'blom', 'pasang', 'udah', 'mntak', 'biaya', 'tagih']","['iconet', 'udah', 'bayar', 'info', 'gak', 'hubung', 'cs', 'gak', 'tanggap', 'aplikasi', 'error', 'alat', 'blom', 'pasang', 'udah', 'mntak', 'biaya', 'tagih']"
105,pln darmo permai ini kok gak sopan ya kabel listrik potong tanpa izin dan gak ada orang sama sekali di rumahmaksa ganti ke token listrik padahal saya uda bayar walopun itu di akhir bulanbukannya klo putus listrik itu bayar yg sampek nunggak bulan ya ini saya cm lewat hari aja uda putus dan suruh ganti token mas afandy catat meter palsu tanda tandatangan surat tuju ganti ke token,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['pln', 'darmo', 'permai', 'gak', 'sopan', 'ya', 'kabel', 'listrik', 'potong', 'izin', 'gak', 'orang', 'rumahmaksa', 'ganti', 'token', 'listrik', 'uda', 'bayar', 'walopun', 'bulanbukannya', 'putus', 'listrik', 'bayar', 'sampek', 'nunggak', 'ya', 'cm', 'uda', 'putus', 'suruh', 'ganti', 'token', 'mas', 'afandy', 'catat', 'meter', 'palsu', 'tanda', 'tandatangan', 'surat', 'tuju', 'ganti', 'token']","['pln', 'darmo', 'permai', 'gak', 'sopan', 'ya', 'kabel', 'listrik', 'potong', 'izin', 'gak', 'orang', 'rumahmaksa', 'ganti', 'token', 'listrik', 'uda', 'bayar', 'walopun', 'bulanbukannya', 'putus', 'listrik', 'bayar', 'sampek', 'nunggak', 'ya', 'cm', 'uda', 'putus', 'suruh', 'ganti', 'token', 'mas', 'afandy', 'catat', 'meter', 'palsu', 'tanda', 'tandatangan', 'surat', 'tuju', 'ganti', 'token']"
106,apk yg paraaaaaaah tapi bagussssss nya cuma buat bayar tagih berapa pasang listrik bayar cepet gilir dana restitusi laaaaammmmmaaaaaaa bebuyutan dari november di restitusi pihak sekarang april belum di tf telpon telpon doang hasil gak ada jelas habis ini pasti telpon jasa kapan gak tahu malang masih jateng masih indonesia,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['apk', 'paraaaaaaah', 'bagussssss', 'nya', 'bayar', 'tagih', 'pasang', 'listrik', 'bayar', 'cepet', 'gilir', 'dana', 'restitusi', 'laaaaammmmmaaaaaaa', 'bebuyutan', 'november', 'restitusi', 'april', 'tf', 'telpon', 'telpon', 'doang', 'hasil', 'gak', 'habis', 'telpon', 'jasa', 'gak', 'malang', 'jateng', 'indonesia']","['apk', 'paraaaaaaah', 'bagussssss', 'nya', 'bayar', 'tagih', 'pasang', 'listrik', 'bayar', 'cepet', 'gilir', 'dana', 'restitusi', 'laaaaammmmmaaaaaaa', 'bebuyutan', 'november', 'restitusi', 'april', 'tf', 'telpon', 'telpon', 'doang', 'hasil', 'gak', 'habis', 'telpon', 'jasa', 'gak', 'malang', 'jateng', 'indonesia']"
107,layan dan tangan pln karang asem lambat,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['layan', 'tangan', 'pln', 'karang', 'asem', 'lambat']","['layan', 'tangan', 'pln', 'karang', 'asem', 'lambat']"
108,sejak ada biaya aplikasipenangan aplikasi hanya utk ngecek tagih saja bayar pake aplikasi lain yg lebih murah,Feature Design,Tentang promo/stimulus,"['biaya', 'aplikasipenangan', 'aplikasi', 'utk', 'ngecek', 'tagih', 'bayar', 'pake', 'aplikasi', 'murah']","['biaya', 'aplikasipenangan', 'aplikasi', 'utk', 'ngecek', 'tagih', 'bayar', 'pake', 'aplikasi', 'murah']"
109,selamat tunai ibadah puasa apakah layan aju refund jika sudah tuju dan realisasi refundnya benar butuh hari ya apa masih kena dampak covid jadi realisasi lama,ICONNET,Service O2O ICONNET,"['selamat', 'tunai', 'ibadah', 'puasa', 'layan', 'aju', 'refund', 'tuju', 'realisasi', 'refundnya', 'butuh', 'ya', 'kena', 'dampak', 'covid', 'realisasi']","['selamat', 'tunai', 'ibadah', 'puasa', 'layan', 'aju', 'refund', 'tuju', 'realisasi', 'refundnya', 'butuh', 'ya', 'kena', 'dampak', 'covid', 'realisasi']"
110,saya bayar tagih dan beli token selalu pakai apk pln dan bebas biaya admin tapi sekarang ada biaya admin segala mahal pula parah lebih mahal dari apk lain cari untung buat jual malah buntung jadi gak guna apk pln ini,Feature Design,Tentang promo/stimulus,"['bayar', 'tagih', 'beli', 'token', 'pakai', 'apk', 'pln', 'bebas', 'biaya', 'admin', 'biaya', 'admin', 'mahal', 'parah', 'mahal', 'apk', 'cari', 'untung', 'jual', 'buntung', 'gak', 'apk', 'pln']","['bayar', 'tagih', 'beli', 'token', 'pakai', 'apk', 'pln', 'bebas', 'biaya', 'admin', 'biaya', 'admin', 'mahal', 'parah', 'mahal', 'apk', 'cari', 'untung', 'jual', 'buntung', 'gak', 'apk', 'pln']"
111,udh byr wifinya cape coba jaring bgus ap ini mlh ngelek wifi rusak,ICONNET,Feature Error ICONNET,"['byr', 'wifinya', 'cape', 'coba', 'jaring', 'bgus', 'ap', 'mlh', 'ngelek', 'wifi', 'rusak']","['byr', 'wifinya', 'cape', 'coba', 'jaring', 'bgus', 'ap', 'mlh', 'ngelek', 'wifi', 'rusak']"
112,aplikasi main cuman buat gaya an dgan dalih mmprmudah lapor tp reaksi gak ada listrik padam tiap ada grimis tp gak da pnyelesaian aplikasi gaya an,Service O2O,Respon lambat terhadap keluhan pemadaman,"['aplikasi', 'main', 'cuman', 'gaya', 'an', 'dgan', 'dalih', 'mmprmudah', 'lapor', 'tp', 'reaksi', 'gak', 'listrik', 'padam', 'grimis', 'tp', 'gak', 'da', 'pnyelesaian', 'aplikasi', 'gaya', 'an']","['aplikasi', 'main', 'cuman', 'gaya', 'an', 'dgan', 'dalih', 'mmprmudah', 'lapor', 'tp', 'reaksi', 'gak', 'listrik', 'padam', 'grimis', 'tp', 'gak', 'da', 'pnyelesaian', 'aplikasi', 'gaya', 'an']"
113,hari inter saya mati udh ditelp kali kali tp  ada yg kunjung baik,ICONNET,Service O2O ICONNET,"['inter', 'mati', 'ditelp', 'kali', 'kali', 'tp', 'kunjung']","['inter', 'mati', 'ditelp', 'kali', 'kali', 'tp', 'kunjung']"
114,lampu padam jam wita adu jam wita sampe jam wita tugas blom datang untuk tangan payah,Service O2O,Respon lambat terhadap keluhan pemadaman,"['lampu', 'padam', 'jam', 'wita', 'adu', 'jam', 'wita', 'sampe', 'jam', 'wita', 'tugas', 'blom', 'tangan', 'payah']","['lampu', 'padam', 'jam', 'wita', 'adu', 'jam', 'wita', 'sampe', 'jam', 'wita', 'tugas', 'blom', 'tangan', 'payah']"
115,layan buruk jaring selalu masalah tidak ada pihak yg mau bantu,ICONNET,Service O2O ICONNET,"['layan', 'buruk', 'jaring', 'bantu']","['layan', 'buruk', 'jaring', 'bantu']"
116,padahal bagus nih aplikasi tapi sayang gilir beli token aplikasi ini sdh hampir stgh jam gak muncul juga no tokennyastatus aplikasi tunggu pembayaranpadahal sudah bayar hadeuhh,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['bagus', 'nih', 'aplikasi', 'sayang', 'gilir', 'beli', 'token', 'aplikasi', 'stgh', 'jam', 'gak', 'muncul', 'no', 'tokennyastatus', 'aplikasi', 'tunggu', 'pembayaranpadahal', 'bayar', 'hadeuhh']","['bagus', 'nih', 'aplikasi', 'sayang', 'gilir', 'beli', 'token', 'aplikasi', 'stgh', 'jam', 'gak', 'muncul', 'no', 'tokennyastatus', 'aplikasi', 'tunggu', 'pembayaranpadahal', 'bayar', 'hadeuhh']"
117,aplikasi slow respon ketika beli token hampir jam nunggu baru ada notif transaksi hasil padahal pake aplikasi lain slesai transaksi langsung dapat token,Feature Errors,Status payment gagal tapi saldo sudah terpotong,"['aplikasi', 'slow', 'respon', 'beli', 'token', 'jam', 'nunggu', 'notif', 'transaksi', 'hasil', 'pake', 'aplikasi', 'slesai', 'transaksi', 'langsung', 'token']","['aplikasi', 'slow', 'respon', 'beli', 'token', 'jam', 'nunggu', 'notif', 'transaksi', 'hasil', 'pake', 'aplikasi', 'slesai', 'transaksi', 'langsung', 'token']"
118,slow responnn,Service O2O,Respon lambat terhadap keluhan non-pemadaman,"['slow', 'responnn']","['slow', 'responnn']"
119,lagi live chat gak bisa upload gambar selalu dc dibenerin yak,Feature Errors,Fungsi fitur gagal,"['live', 'chat', 'gak', 'upload', 'gambar', 'dc', 'dibenerin', 'yak']","['live', 'chat', 'gak', 'upload', 'gambar', 'dc', 'dibenerin', 'yak']"
